,fips_code,county,total_2008,total_2012,total_2016
2640,17041,Douglas County,8356,7889,8089
2641,16073,Owyhee County,4058,3723,3920
2642,31127,Nemaha County,3474,3126,3035
2643,48355,Nueces County,101230,95781,103958
2644,19035,Cherokee County,6365,6367,6186
2645,42089,Monroe County,68443,59312,65944
2646,20023,Cheyenne County,1498,1422,1409
2647,20203,Wichita County,1019,987,934
2648,13121,Fulton County,404941,386845,407173
2649,6017,El Dorado County,92926,85923,69852
2650,19045,Clinton County,24719,24873,22748
2651,18019,Clark County,47725,47062,51104
2652,19125,Marion County,17030,17536,17554
2653,21197,Powell County,4972,4441,4952
2654,20087,Jefferson County,8950,7725,8151
2655,13127,Glynn County,33341,33054,34041
2656,21109,Jackson County,5224,5061,5497
2657,28055,Issaquena County,950,787,699
2658,31183,Wheeler County,440,446,459
2659,38067,Pembina County,3307,3226,3093
2660,23013,Knox County,22980,22002,23021
2661,21215,Spencer County,8049,8431,9509
2662,8045,Garfield County,23082,23695,26328
2663,20081,Haskell County,1570,1355,1300
2664,21003,Allen County,7390,7099,8085
2665,42107,Schuylkill County,63057,57505,62750
2666,13153,Houston County,55931,57912,59559
2667,29029,Camden County,22133,21942,22182
2668,1025,Clarke County,13435,13827,12936
2669,41005,Clackamas County,191878,185564,182136
2670,36025,Delaware County,20389,16916,17778
2671,48207,Haskell County,2116,2006,1765
2672,39103,Medina County,90451,88849,89360
2673,37185,Warren County,10195,9777,10123
2674,29067,Douglas County,6712,6556,6664
2675,18157,Tippecanoe County,68436,56696,61916
2676,41041,Lincoln County,23889,22612,24035
2677,13315,Wilcox County,3163,3124,2973
2678,30059,Meagher County,966,972,970
2679,20055,Finney County,10354,7593,9731
2680,36041,Hamilton County,3411,2655,2688
2681,17165,Saline County,11428,10713,11234
2682,31135,Perkins County,1420,1391,1418
2683,5099,Nevada County,3635,3384,3233
2684,16045,Gem County,7947,7490,7952
2685,53067,Thurston County,126709,111652,116839
2686,42115,Susquehanna County,19286,17930,19200
2687,37085,Harnett County,40705,42343,44955
2688,20035,Cowley County,13787,12444,12171
2689,37077,Granville County,24725,26068,26920
2690,26017,Bay County,57428,51077,52932
2691,34027,Morris County,246916,206580,248848
2692,26103,Marquette County,33185,32144,32897
2693,31073,Gosper County,1048,975,1000
2694,51173,Smyth County,12302,12751,12825
2695,48327,Menard County,1018,846,860
2696,19189,Winnebago County,6082,5878,5717
2697,13091,Dodge County,8212,7731,6995
2698,18009,Blackford County,5441,4740,4822
2699,54029,Hancock County,13220,11991,12642
2700,37111,McDowell County,18386,17953,19557
2701,50007,Chittenden County,83440,76531,77263
2702,32029,Storey County,2392,2314,2558
2703,18119,Owen County,8170,8107,8520
2704,48011,Armstrong County,990,935,1017
2705,20169,Saline County,22788,21102,21206
2706,48127,Dimmit County,3587,2917,3225
2707,46015,Brule County,2439,2379,2288
2708,20115,Marion County,6059,5368,5465
2709,17119,Madison County,128334,122203,127902
2710,45019,Charleston County,154434,160854,175850
2711,19017,Bremer County,12871,13218,13350
2712,13265,Taliaferro County,990,961,897
2713,18151,Steuben County,14146,13677,14530
2714,47055,Giles County,11689,10797,11120
2715,45051,Horry County,104798,104584,124503
2716,12023,Columbia County,28128,27163,28696
2717,32510,Carson City,23463,23318,25016
2718,40037,Creek County,28505,26078,28786
2719,27137,Saint Louis County,118814,116460,111260
2720,47145,Roane County,23276,21081,21580
2721,46137,Ziebach County,891,761,766
2722,18167,Vigo County,43706,39843,39569
2723,48123,DeWitt County,6626,6624,6822
2724,31165,Sioux County,732,735,709
2725,48221,Hood County,22596,22445,26120
